date,item_id,name,unit_price,waste,sales_qntty,category,store_name,prediction
2020-06-16,101,Ebbi,0.4,52.0,274.0,Ebbis und Schnittbrötchen,one,277.3015136719
2020-06-13,268,Der Ebbing - MK Brot,3.4,11.0,25.0,Brote,one,33.7546844482
2020-06-15,268,Der Ebbing - MK Brot,3.4,0.0,32.0,Brote,one,35.5503044128
2020-06-16,268,Der Ebbing - MK Brot,3.4,0.0,32.0,Brote,one,26.5883960724
2020-06-13,128,Laugenstangen,1.0,16.0,54.0,Gemischte Brötchen,one,53.0055656433
2020-06-15,128,Laugenstangen,1.0,2.0,52.0,Gemischte Brötchen,one,49.1604385376
2020-06-16,128,Laugenstangen,1.0,22.0,49.0,Gemischte Brötchen,one,46.906627655
2020-06-17,102,Schnittbrötchen,0.36,75.0,333.0,Ebbis und Schnittbrötchen,one,346.494934082
2020-06-18,102,Schnittbrötchen,0.36,0.0,368.0,Ebbis und Schnittbrötchen,one,368.8776245117
2020-06-19,102,Schnittbrötchen,0.36,116.0,360.0,Ebbis und Schnittbrötchen,one,490.2671203613
2020-06-20,102,Schnittbrötchen,0.36,79.0,664.0,Ebbis und Schnittbrötchen,one,680.2717285156
2020-06-17,121,Mehrkornbrötchen,0.7,19.0,85.0,Gemischte Brötchen,one,78.4616851807
2020-06-18,121,Mehrkornbrötchen,0.7,5.0,73.0,Gemischte Brötchen,one,74.42023468020001
2020-06-19,121,Mehrkornbrötchen,0.7,10.0,73.0,Gemischte Brötchen,one,78.4205627441
2020-06-20,121,Mehrkornbrötchen,0.7,9.0,59.0,Gemischte Brötchen,one,123.41479492190001
2020-06-17,101,Ebbi,0.4,60.0,304.0,Ebbis und Schnittbrötchen,one,270.8371582031
2020-06-18,101,Ebbi,0.4,0.0,206.0,Ebbis und Schnittbrötchen,one,301.4286804199
2020-06-19,101,Ebbi,0.4,207.0,295.0,Ebbis und Schnittbrötchen,one,369.94802856449996
2020-06-20,101,Ebbi,0.4,39.0,525.0,Ebbis und Schnittbrötchen,one,530.1528320312
2020-06-17,268,Der Ebbing - MK Brot,3.4,0.0,24.0,Brote,one,29.844455719000003
2020-06-18,268,Der Ebbing - MK Brot,3.4,0.0,24.0,Brote,one,24.4308738708
2020-06-19,268,Der Ebbing - MK Brot,3.4,0.0,20.0,Brote,one,25.2234039307
2020-06-20,268,Der Ebbing - MK Brot,3.4,0.0,33.0,Brote,one,33.539817810100004
2020-06-17,128,Laugenstangen,1.0,9.0,46.0,Gemischte Brötchen,one,47.386428833000004
2020-06-18,128,Laugenstangen,1.0,0.0,48.0,Gemischte Brötchen,one,46.5500450134
2020-06-19,128,Laugenstangen,1.0,17.0,44.0,Gemischte Brötchen,one,49.2294197083
2020-06-20,128,Laugenstangen,1.0,15.0,60.0,Gemischte Brötchen,one,57.5383796692
2020-06-22,102,Schnittbrötchen,0.36,0.0,357.0,Ebbis und Schnittbrötchen,one,315.3747558594
2020-06-23,102,Schnittbrötchen,0.36,30.0,328.0,Ebbis und Schnittbrötchen,one,327.6386108398
2020-06-24,102,Schnittbrötchen,0.36,21.0,367.0,Ebbis und Schnittbrötchen,one,343.8315124512
2020-06-22,121,Mehrkornbrötchen,0.7,0.0,63.0,Gemischte Brötchen,one,59.29940795899999
